base_date,waste_item_group,waste_item,waste_item_detail,mnthly_amount,ly_mnthly_amount,yoy_growth
2024-02-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,3960,,
2024-02-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,17380,,
2024-02-01,음식물류,음식물,음식물,2520,,
2024-02-01,폐금속류,고철류,고철,995,,
2024-02-01,폐금속류,캔,알루미늄캔,815,,
2024-02-01,폐지류,파지,골판지,37910,,
2024-02-01,폐합성수지류,PE,LDPE (필름류),3120,,
2024-02-01,폐합성수지류,PS,PS,850,,
2024-02-01,폐합성수지류,쓰레기,일반쓰레기,62210,,
2024-03-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,5530,,
2024-03-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,142040,,
2024-03-01,음식물류,음식물,음식물,3020,,
2024-03-01,폐금속류,고철류,고철,1150,,
2024-03-01,폐금속류,캔,알루미늄캔,900,,
2024-03-01,폐지류,파지,골판지,58100,,
2024-03-01,폐합성수지류,PE,LDPE (필름류),3220,,
2024-03-01,폐합성수지류,PP,PP,320,,
2024-03-01,폐합성수지류,PS,PS,690,,
2024-03-01,폐합성수지류,쓰레기,일반쓰레기,78840,,
2024-04-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,3430,,
2024-04-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,208100,,
2024-04-01,음식물류,음식물,음식물,2970,,
2024-04-01,폐금속류,고철류,고철,2905,,
2024-04-01,폐금속류,캔,알루미늄캔,770,,
2024-04-01,폐지류,파지,골판지,57880,,
2024-04-01,폐합성수지류,PE,LDPE (필름류),2735,,
2024-04-01,폐합성수지류,PS,PS,1150,,
2024-04-01,폐합성수지류,쓰레기,일반쓰레기,97240,,
2024-05-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,12000,,
2024-05-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,245450,,
2024-05-01,음식물류,음식물,음식물,3250,,
2024-05-01,폐금속류,고철류,고철,1130,,
2024-05-01,폐금속류,캔,알루미늄캔,480,,
2024-05-01,폐지류,파지,골판지,67600,,
2024-05-01,폐합성수지류,PE,LDPE (필름류),4850,,
2024-05-01,폐합성수지류,PS,PS,530,,
2024-05-01,폐합성수지류,쓰레기,일반쓰레기,104370,,
2024-06-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,4860,,
2024-06-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,210320,,
2024-06-01,음식물류,음식물,음식물,2690,,
2024-06-01,폐금속류,고철류,고철,3180,,
2024-06-01,폐금속류,캔,알루미늄캔,1000,,
2024-06-01,폐지류,파지,골판지,66490,,
2024-06-01,폐합성수지류,PE,LDPE (필름류),2140,,
2024-06-01,폐합성수지류,PS,PS,910,,
2024-06-01,폐합성수지류,쓰레기,일반쓰레기,98410,,
2024-07-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,16750,,
2024-07-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,231070,,
2024-07-01,음식물류,음식물,음식물,3070,,
2024-07-01,폐금속류,고철류,고철,1280,,
2024-07-01,폐금속류,캔,알루미늄캔,270,,
2024-07-01,폐지류,파지,골판지,51025,,
2024-07-01,폐합성수지류,PE,LDPE (필름류),3195,,
2024-07-01,폐합성수지류,PS,PS,525,,
2024-07-01,폐합성수지류,쓰레기,일반쓰레기,131570,,
2024-08-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,3190,,
2024-08-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,252130,,
2024-08-01,음식물류,음식물,음식물,3060,,
2024-08-01,폐금속류,고철류,고철,1060,,
2024-08-01,폐금속류,캔,알루미늄캔,930,,
2024-08-01,폐지류,파지,골판지,54265,,
2024-08-01,폐합성수지류,PE,LDPE (필름류),435,,
2024-08-01,폐합성수지류,PS,PS,870,,
2024-08-01,폐합성수지류,쓰레기,일반쓰레기,121590,,
2024-09-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,9932,,
2024-09-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,147140,,
2024-09-01,음식물류,음식물,음식물,2880,,
2024-09-01,폐금속류,고철류,고철,805,,
2024-09-01,폐금속류,캔,알루미늄캔,980,,
2024-09-01,폐지류,파지,골판지,48946,,
2024-09-01,폐합성수지류,PE,LDPE (필름류),2210,,
2024-09-01,폐합성수지류,PS,PS,530,,
2024-09-01,폐합성수지류,쓰레기,일반쓰레기,100160,,
2024-10-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,6480,,
2024-10-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,209120,,
2024-10-01,음식물류,음식물,음식물,2780,,
2024-10-01,폐금속류,고철류,고철,2570,,
2024-10-01,폐금속류,캔,알루미늄캔,540,,
2024-10-01,폐지류,파지,골판지,57070,,
2024-10-01,폐합성수지류,PE,LDPE (필름류),4270,,
2024-10-01,폐합성수지류,PS,PS,2105,,
2024-10-01,폐합성수지류,쓰레기,일반쓰레기,80960,,
2024-11-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,13140,,
2024-11-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,172110,,
2024-11-01,음식물류,음식물,음식물,2840,,
2024-11-01,폐금속류,고철류,고철,2145,,
2024-11-01,폐지류,파지,골판지,50330,,
2024-11-01,폐합성수지류,PE,LDPE (필름류),1280,,
2024-11-01,폐합성수지류,PS,PS,1010,,
2024-11-01,폐합성수지류,쓰레기,일반쓰레기,73940,,
2024-12-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,11980,,
2024-12-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,172710,,
2024-12-01,음식물류,음식물,음식물,2390,,
2024-12-01,폐금속류,고철류,고철,1110,,
2024-12-01,폐금속류,캔,알루미늄캔,1260,,
2024-12-01,폐지류,파지,골판지,27850,,
2024-12-01,폐합성수지류,PE,LDPE (필름류),2110,,
2024-12-01,폐합성수지류,PS,PS,1020,,
2024-12-01,폐합성수지류,쓰레기,일반쓰레기,72460,,
2025-01-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,5950,,
2025-01-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,174840,,
2025-01-01,음식물류,음식물,음식물,2560,,
2025-01-01,폐지류,파지,골판지,32320,,
2025-01-01,폐합성수지류,PE,LDPE (필름류),2865,,
2025-01-01,폐합성수지류,PS,PS,1575,,
2025-01-01,폐합성수지류,쓰레기,일반쓰레기,74520,,
2025-02-01,그밖의 폐기물,그밖의 폐기물,그밖의 폐기물,4130,3960,0.04292929292929293
2025-02-01,유기성 오니류,그밖의폐수처리오니,그밖의폐수처리오니,210470,17380,11.109896432681243
2025-02-01,음식물류,음식물,음식물,2580,2520,0.023809523809523808
