base_date,waste_item_group,waste_item,waste_item_detail,mnthly_amount,ly_mnthly_amount,yoy_growth
2023-12-01,음식물류,음식물,음식물,36800,,
2024-01-01,음식물류,음식물,음식물,44810,,
2024-02-01,음식물류,음식물,음식물,35060,,
2024-03-01,음식물류,음식물,음식물,56690,,
2024-04-01,음식물류,음식물,음식물,52400,,
2024-05-01,음식물류,음식물,음식물,51370,,
2024-06-01,음식물류,음식물,음식물,51220,,
2024-07-01,음식물류,음식물,음식물,55800,,
2024-08-01,음식물류,음식물,음식물,68700,,
2024-09-01,음식물류,음식물,음식물,65730,,
2024-10-01,음식물류,음식물,음식물,73235,,
2024-11-01,음식물류,음식물,음식물,72037,,
2024-12-01,음식물류,음식물,음식물,76519,36800,1.0793206521739132
2025-01-01,음식물류,음식물,음식물,80904,44810,0.8054898460165142
2025-02-01,음식물류,음식물,음식물,76048,35060,1.1690815744438106
2025-03-01,음식물류,음식물,음식물,71766,56690,0.26593755512436057
2025-04-01,음식물류,음식물,음식물,66917,52400,0.27704198473282443
2025-05-01,음식물류,음식물,음식물,62440,51370,0.2154954253455324
2025-06-01,음식물류,음식물,음식물,76368,51220,0.49098008590394376
2025-07-01,음식물류,음식물,음식물,77015,55800,0.38019713261648747
2025-08-01,음식물류,음식물,음식물,86505,68700,0.2591703056768559
2025-09-01,음식물류,음식물,음식물,92925,65730,0.41373801916932906
2025-10-01,음식물류,음식물,음식물,74880,73235,0.022461937598142964
2025-11-01,음식물류,음식물,음식물,17975,72037,-0.7504754501159127
2023-12-01,폐금속류,고철류,고철,495,,
2024-01-01,폐금속류,고철류,고철,1345,,
2024-02-01,폐금속류,고철류,고철,520,,
2024-03-01,폐금속류,고철류,고철,1240,,
2024-04-01,폐금속류,고철류,고철,330,,
2024-05-01,폐금속류,고철류,고철,580,,
2024-06-01,폐금속류,고철류,고철,560,,
2024-07-01,폐금속류,고철류,고철,1060,,
2024-10-01,폐금속류,고철류,고철,1510,,
2024-12-01,폐금속류,고철류,고철,1150,495,1.3232323232323233
2025-01-01,폐금속류,고철류,고철,1560,1345,0.15985130111524162
2025-02-01,폐금속류,고철류,고철,890,520,0.7115384615384616
2025-03-01,폐금속류,고철류,고철,0,1240,-1
2025-04-01,폐금속류,고철류,고철,1300,330,2.9393939393939394
2025-05-01,폐금속류,고철류,고철,0,580,-1
2025-06-01,폐금속류,고철류,고철,350,560,-0.375
2025-07-01,폐금속류,고철류,고철,1560,1060,0.4716981132075472
2025-08-01,폐금속류,고철류,고철,1100,,
2025-09-01,폐금속류,고철류,고철,1180,,
2025-10-01,폐금속류,고철류,고철,0,1510,-1
